tiktok	415	Her family stood at the bottom of the stairs and watched her being dr...
tiktok	329	In 1966 an 18-year-old crewman was crushed inside watertight door 13 ...
tiktok	253	There are 22 miles of tunnel under a London suburb, and from 1961 the...
tiktok	701	They found a message written on a three-year-old's drawing board. He ...
tiktok	434	The children in that house gave it a name - that's how long it went o...
tiktok	239	The fire took the whole house and everything in it - except one thing...
tiktok	285	She was in her own kitchen when something hit her across the face. Sh...
tiktok	731	In 1971 two boys dug two small carved stone heads out of a garden in ...
tiktok	248	The children round there dare each other to put their fingers through...
tiktok	271	The guide holds the lantern up and tells you to reach into the coffin...
tiktok	287	It went out on the evening news, and by midnight there were hundreds ...
tiktok	266	He locked the museum door behind him and said goodnight to the buildi...
tiktok	257	He flagged the car down in the small hours and the driver wound his w...
tiktok	390	137 pieces of human bone came out of a pit in a deserted English vill...
tiktok	517	Ten people were hanged in 1612 on the word of a nine year old girl - ...
tiktok	262	If a branch falls from the Chained Oak, someone in that family dies. ...
tiktok	389	The dogs see her first. More than 300 have gone over the wall at Over...
tiktok	312	Don't take the top-floor room at 50 Berkeley Square, London. The last...
tiktok	2962	This Gloucestershire pub poured its last pint in 1968 - but people st...
tiktok	480	Under the road outside Crumlin Road Gaol in Belfast there's a tunnel ...
tiktok	1050	Britain's most remote beach has a free hut any walker can sleep in - ...
tiktok	1443	Fifty-five people were hanged at Bodmin Jail in Cornwall, England. It...
tiktok	532	The same voice was heard before every death in this Irish family. The...
tiktok	363	A TV crew filled this ruined Welsh castle with celebrities. Nobody to...
tiktok	444	They heard a child crying in the walls of Britain's most haunted cast...
tiktok	287	There's a road across Dartmoor, England where drivers say rough hairy...
tiktok	329	Climbers on Britain's second highest mountain keep hearing footsteps ...
tiktok	973	Truckers call the A75 in Scotland the ghost road - and they still rep...
tiktok	965	An ordinary council house in Yorkshire, England - and the most violen...
tiktok	281	They say the Devil sat in on a card game in the hills above Dublin, I...
tiktok	820	They sealed a plague street beneath Edinburgh, Scotland - and there's...
tiktok	585	Lady Isobel was locked in this tower and left to starve. The room is ...
tiktok	1911	Leap Castle isn’t just haunted… it’s cursed. The Bloody Chapel still ...
tiktok	5810	The piper who walked into Edinburgh’s tunnels and never came out. #Ha...
tiktok	1952	They say his grave is cursed… and the Highlands remember. ⚠️ Would yo...
tiktok	1736	This is the true story of the Stocksbridge Bypass, one of the UK’s mo...
tiktok	934	They still hear her singing through the Belfast Fog. #belfasttiktok #...
tiktok	2129	They sealed her alive in the walls of Whitby Abbey in 1538... and vis...
tiktok	838	The Ghost Ship That Still Sails Filey Bay. For centuries, fishermen h...
tiktok	36700	They still see him in Glasgow Royal Infirmary… standing by the bed. I...
tiktok	1253	Could you spend a night alone in this school? The ghost stories of Ki...
